,consumed_rate,generated_rate,marginal_rate
2019-01-04 19:00:00,353.7300981,278.807782,507.8528687
2019-01-04 19:15:00,353.7300981,265.481243,656.8997957
2019-01-04 19:30:00,353.7300981,266.0393085,176.0445148
2019-01-04 19:45:00,353.7300981,264.8131433,731.1288444
2019-01-04 20:00:00,346.1082592,266.1251354,539.8084455
2019-01-04 20:15:00,346.1082592,263.0354907,375.7153765
2019-01-04 20:30:00,346.1082592,260.2293855,286.6634155
2019-01-04 20:45:00,346.1082592,259.1813439,387.4865648
2019-01-04 21:00:00,334.8926234,257.5438955,672.9660915
2019-01-04 21:15:00,334.8926234,261.4891478,440.8699155
2019-01-04 21:30:00,334.8926234,260.4123401,218.52624
2019-01-04 21:45:00,334.8926234,267.7976723,750.4572604
2019-01-04 22:00:00,345.3263533,268.3301887,500.9886486
2019-01-04 22:15:00,345.3263533,274.3373643,418.5738186
2019-01-04 22:30:00,345.3263533,282.2887619,746.1322636
2019-01-04 22:45:00,345.3263533,290.9782529,781.3736213
2019-01-04 23:00:00,374.2647918,300.6157196,204.7577938
2019-01-04 23:15:00,374.2647918,292.6480429,254.9876099
2019-01-04 23:30:00,374.2647918,327.6878397,772.3024322
2019-01-04 23:45:00,374.2647918,378.2124216,737.2660225
2019-01-05 00:00:00,497.338306,407.9937243,467.2690732
2019-01-05 00:15:00,497.338306,435.8717183,691.5737224
2019-01-05 00:30:00,497.338306,482.2233042,744.6485736
2019-01-05 00:45:00,497.338306,499.2391553,676.5634068
2019-01-05 01:00:00,572.7234451,510.9336246,437.1891581
2019-01-05 01:15:00,572.7234451,505.8099847,198.4527913
2019-01-05 01:30:00,572.7234451,501.9415019,485.1286296
2019-01-05 01:45:00,572.7234451,508.3605372,434.6415515
2019-01-05 02:00:00,568.4190869,508.8060893,116.1599334
2019-01-05 02:15:00,568.4190869,503.6806287,419.5228971
2019-01-05 02:30:00,568.4190869,509.1818412,345.6570239
2019-01-05 02:45:00,568.4190869,503.6181701,702.0733531
2019-01-05 03:00:00,574.2103962,505.2322328,691.9196382
2019-01-05 03:15:00,574.2103962,501.0294548,46.27743787
2019-01-05 03:30:00,574.2103962,502.8673469,114.6234678
2019-01-05 03:45:00,574.2103962,506.3964472,244.3692798
2019-01-05 04:00:00,578.2615731,509.5827966,211.9769711
2019-01-05 04:15:00,578.2615731,514.1955631,234.6816868
2019-01-05 04:30:00,578.2615731,515.5081432,502.4301432
2019-01-05 04:45:00,578.2615731,512.7254469,763.3157435
2019-01-05 05:00:00,586.8743858,513.8470023,428.3882752
2019-01-05 05:15:00,586.8743858,514.4502355,421.1672356
2019-01-05 05:30:00,586.8743858,514.872828,620.5317109
2019-01-05 05:45:00,586.8743858,508.1595825,744.2627316
2019-01-05 06:00:00,584.7444533,507.0703646,287.4065864
2019-01-05 06:15:00,584.7444533,507.3957336,634.3356139
2019-01-05 06:30:00,584.7444533,507.6127199,824.8443957
2019-01-05 06:45:00,584.7444533,499.8993588,106.6482117
2019-01-05 07:00:00,603.0524235,499.3017303,587.1659566
2019-01-05 07:15:00,603.0524235,494.8088659,361.2792352
2019-01-05 07:30:00,603.0524235,499.6559016,145.5988245
2019-01-05 07:45:00,603.0524235,499.7434059,203.6778463
2019-01-05 08:00:00,603.269688,506.0882483,45.43730493
2019-01-05 08:15:00,603.269688,512.1667539,437.7515989
2019-01-05 08:30:00,603.269688,518.8870643,564.3100357
2019-01-05 08:45:00,603.269688,515.6818759,572.8532585
2019-01-05 09:00:00,605.1662699,514.3995775,299.483606
2019-01-05 09:15:00,605.1662699,509.8376411,750.8302306
2019-01-05 09:30:00,605.1662699,503.1854211,326.667118
2019-01-05 09:45:00,605.1662699,509.0908276,455.8663632
2019-01-05 10:00:00,623.0706028,510.8114445,136.9604191
2019-01-05 10:15:00,623.0706028,534.7751153,735.3148649
2019-01-05 10:30:00,623.0706028,533.1722641,667.2276095
2019-01-05 10:45:00,623.0706028,531.6449267,152.420313
2019-01-05 11:00:00,621.8783343,531.284126,178.7862114
2019-01-05 11:15:00,621.8783343,536.8589492,53.80102583
2019-01-05 11:30:00,621.8783343,537.1636519,107.6020517
2019-01-05 11:45:00,621.8783343,536.0715115,350.8172208
2019-01-05 12:00:00,610.0203045,535.7970899,6.67963441
2019-01-05 12:15:00,610.0203045,525.4788521,120.4700585
2019-01-05 12:30:00,610.0203045,524.5209595,176.8776563
2019-01-05 12:45:00,610.0203045,522.5982342,482.9978244
2019-01-05 13:00:00,599.9891976,520.2958273,617.385401
